ItemCode,ITEM,EAN,Qty,RRP,Price  (£),NEW,ORDER,TOTAL VALUE,search_number
01-JC-RP-PS4.5,JIMMY CHOO ROSE PASSION EDP-S 4.5ML MINI,3386460137607.0,1000+,12.0,2.75,,,0.0,
01-JC-RP-PS40,JIMMY CHOO ROSE PASSION EDP-S 40ML,3386460137560.0,329,51.0,12.5,,,0.0,202937209.0
01-JC-RP-PS60,JIMMY CHOO ROSE PASSION EDP-S 60ML,3386460137553.0,54,68.0,15.95,,,0.0,203096627.0
01-JO-FEM-TS100,JOOP FEMME EDT-S 100ML,3414206000059.0,1000+,50.0,11.95,,,0.0,103159.0
01-JP-CLA-TS100-S,JPG CLASSIQUE PRIDE EDITION EDT-S 100ML,8435415091657.0,857,94.0,41.95,,,0.0,204346293.0
01-JP-CLA-TS50-D,JPG CLASSIQUE EDT-S 50ML,8435415011310.0,126,83.0,39.95,,,0.0,595132.0
01-JP-SCA-59084,JPG SCANDAL EDP-S 30ML,8435415059084.0,238,62.0,33.95,,,0.0,5645528.0
01-JP-SCA-SG200,JPG SCANDAL SHOWER GEL 200ML,8435415007573.0,37,35.0,14.95,,,0.0,5702753.0
01-JUC-LALA-PS100,JUICY COUTURE LA LA EDP-S 100ML,719346158657.0,33,75.0,14.5,,,0.0,3771239.0
01-KE-FLO-04175-D,KENZO FLOWER EDP-S 50ML,3274872404175.0,949,77.0,22.95,,,0.0,595307.0
01-KE-FLO-20335-D,KENZO FLOWER EDT-S 30ML,3274872420335.0,93,39.0,14.25,,,0.0,201733934.0
01-KE-FLO-20342-UK,KENZO FLOWER EDT-S 50ML,3274872420342.0,104,71.0,20.5,,,0.0,201733937.0
01-KE-FLO-PS100-UK,KENZO FLOWER EDP-S 100ML,3274872427204.0,1000+,109.0,31.5,,,0.0,3539472.0
01-KP-MEOW-PS100,KATY PERRY MEOW EDP-S 100ML,3607343191005.0,12,60.0,10.5,,,0.0,3045136.0
01-LAL-PDL-PS100,LALIQUE PERLES DE LALIQUE EDP-S 100ML,3454960021679.0,216,95.0,16.5,,,0.0,
01-LA-MIR-PS30,LANCOME MIRACLE EDP-S 30ML,3147758029406.0,551,53.0,18.95,,,0.0,335239.0
01-LA-MIR-PS30-UK,LANCOME MIRACLE EDP-S 30ML,3147758029406.0,1000+,53.0,17.95,,,0.0,335239.0
01-LA-MIR-PS50-UK,LANCOME MIRACLE EDP-S 50ML,3147758029390.0,85,70.0,30.5,,,0.0,596123.0
01-LAT-AAOIO-PS100,LATTAFA AMEER AL OUDH INTENSE OUD EDP-S 100ML,6291107458571.0,123,25.0,8.75,,,0.0,
01-LAT-AA-PS60,LATTAFA ANA ABIYEDH EDP-S 60ML,6291106066890.0,386,21.0,7.95,,,0.0,
01-LAT-AAR-PS60,LATTAFA ANA ABIYEDH ROUGE EDP-S 60ML,6291107454412.0,1000+,23.0,7.95,,,0.0,
01-LAT-BAOA-PS100,LATTAFA BADEE AL OUD AMETHYST EDP-S 100ML,6291108733875.0,43,32.0,13.95,,,0.0,
01-LAT-BAOHG-PS100,LATTAFA BADEE AL OUD HONOR AND GLORY EDP-S 100ML,6290360593135.0,626,33.0,13.5,,,0.0,
01-LAT-BAOS-PS100,LATTAFA BADEE AL OUD SUBLIME EDP-S 100ML,6290360593142.0,650,30.0,13.5,,,0.0,
01-LAT-FG-PS100,LATTAFA FAKHAR GOLD EDP-S 100ML,6290360593166.0,1000+,30.0,11.75,,,0.0,
01-LAT-HAFL-PS100,LATTAFA HAYAATI FLORENCE EDP-S 100ML,6290360593180.0,718,25.0,7.95,,,0.0,
01-LAT-HA-PS100,LATTAFA HAYAATI EDP-S 100ML,6291107450193.0,742,25.0,7.95,,,0.0,
01-LAT-HGE-PS100,LATTAFA HAYAATI GOLD ELIXIR EDP-S 100ML,6291107457895.0,944,18.0,7.95,,,0.0,
01-LAT-MA-PS100,LATTAFA MAYAR EDP-S 100ML,6291108732496.0,704,25.0,11.25,,,0.0,202236235.0
01-LA-TMR-PS50,LANCOME TRESOR MIDNIGHT ROSE EDP-S 50ML,3605532423203.0,377,95.0,25.95,,,0.0,
01-LAT-QAF-PS90,LATTAFA QAED AL FURSAN EDP-S 90ML,6291107455365.0,290,20.0,7.95,,,0.0,
01-LA-TRE-PS50,LANCOME TRESOR EDP-S 50ML,3147758034912.0,281,95.0,42.5,,,0.0,606867.0
01-LAT-RNR-PS100,LATTAFA RAVE NOW ROUGE EDP-S 100ML,6291108735046.0,2,36.0,11.95,,,0.0,203358042.0
01-LAT-YARA-PS100,LATTAFA YARA EDP-S 100ML,6291108730515.0,498,30.0,11.95,,,0.0,
01-LC-REI-TS50,LACOSTE L.12.12 ROSE EAU INTENSE EDT-S 50ML,3616303459956.0,1000+,52.0,10.95,,,0.0,
01-LC-TOP-TS50,LACOSTE TOUCH OF PINK EDT-S 50ML,3386460149457.0,1000+,38.0,14.25,,,0.0,585668.0
01-LC-TOP-TS90,LACOSTE TOUCH OF PINK EDT-S 90ML,737052191324.0,565,65.0,23.95,,,0.0,
01-LN-EDA-PS30,LANVIN ECLAT D'ARPEGE EDP-S 30ML,3386461519457.0,352,33.0,9.5,,,0.0,335387.0
01-MFK-BAC-HM70,MAISON FRANCIS KURKDJIAN BACCARAT ROUGE 540 70ML HAIR MIST,3700559606773.0,2,75.0,54.95,,,0.0,
01-MFK-BAC-PS35-D,MAISON FRANCIS KURKDJIAN BACCARAT ROUGE 540 PARFUM 35ML,3700559608654.0,13,155.0,123.95,,,0.0,
01-MH-CDJ-PS100,MILLER HARRIS COEUR DE JARDIN UNISEX EDP-S 100ML,5051198597013.0,101,140.0,46.95,,,0.0,6218213.0
01-MH-CG-PS100,MILLER HARRIS CRAFT & GLAMOUR UNISEX EDP-S 100ML,5051198840034.0,106,135.0,46.95,,,0.0,
01-MH-CIT-PS100,MILLER HARRIS CITRON CITRON UNISEX EDP-S 100ML,5051198036024.0,110,135.0,46.95,,,0.0,
01-MH-EN-PS100,MILLER HARRIS ETUI NOIR UNISEX EDP-S 100ML,5051198680661.0,271,140.0,46.95,,,0.0,
01-MH-LD-PS100,MILLER HARRIS LUMIERE DOREE UNISEX EDP-S 100ML,5051198697010.0,242,140.0,46.95,,,0.0,6282767.0
01-MH-PDS-PS100,MILLER HARRIS POIRIER D'UN SOIR UNISEX EDP-S 100ML,5051198586666.0,219,140.0,46.95,,,0.0,
01-MH-RS-PS100,MILLER HARRIS ROSE SILENCE UNISEX EDP-S 100ML,5051198630673.0,10,140.0,46.95,,,0.0,
01-MH-VI-PS100,MILLER HARRIS VETIVER INSOLENT UNISEX EDP-S 100ML,5051198670679.0,265,140.0,46.95,,,0.0,5871454.0
01-MI-SP-TS50,MIU MIU SERIAL PLAYER EDT-S 50ML,3614226513670.0,142,75.0,10.95,,,0.0,
01-MJ-DAIL-TS30-UK,MARC JACOBS DAISY LOVE EDT-S 30ML,3614225452949.0,399,52.0,21.95,,,0.0,6142029.0
01-MJ-DAIL-TS50-UK,MARC JACOBS DAISY LOVE EDT-S 50ML,3614225452079.0,70,70.0,32.5,,,0.0,6142045.0
01-MJ-DAI-TS50,MARC JACOBS DAISY EDT-S 50ML,31655513027.0,129,73.0,30.95,,,0.0,
01-MJ-DEF-95661,MARC JACOBS DAISY EAU SO FRESH POP EDT-S 75ML,3616304895661.0,120,79.0,34.95,New In,,0.0,203760567.0
01-MJ-DESF-PS10,MARC JACOBS DAISY EVER SO FRESH EDP-S 10ML,3616303445102.0,884,20.0,7.95,,,0.0,205171179.0
01-MJ-DESF-PS30,MARC JACOBS DAISY EVER SO FRESH EDP-S 30ML,3616303423834.0,1000+,59.0,22.95,,,0.0,
01-MJ-DINT-PS50-UK,MARC JACOBS DAISY EAU SO INTENSE EDP 50ML,3616301776017.0,395,81.0,29.95,,,0.0,201140867.0
01-MJ-DOT-PS50-UK,MARC JACOBS DOT EDP-S 50ML,3607342522619.0,773,75.0,20.5,,,0.0,3241100.0
01-MJ-DRE-TS100,MARC JACOBS DAISY DREAM EDT-S 100ML,3607349764241.0,150,99.0,40.95,,,0.0,4397704.0
01-MJ-DRE-TS100-UK,MARC JACOBS DAISY DREAM EDT-S 100ML,3607349764241.0,710,99.0,35.95,,,0.0,4397704.0
01-MJ-DRE-TS30-UK,MARC JACOBS DAISY DREAM EDT-S 30ML,3607349764326.0,1000+,52.0,21.95,,,0.0,4397697.0
01-MJ-PERF-PS30-UK,MARC JACOBS PERFECT EDP-S 30ML,3616302777228.0,539,62.0,28.95,,,0.0,
01-MJ-PERF-TS50-UK,MARC JACOBS PERFECT EDT-S 50ML,3616303461874.0,463,89.0,28.95,,,0.0,202712923.0
01-MJ-POP-TS50,MARC JACOBS DAISY POP EDT-S 50ML,3616304895654.0,120,73.0,30.95,New In,,0.0,203760571.0
01-MK-SEAM-PS100,MICHAEL KORS SEXY AMBER EDP-S 100ML,22548289655.0,5,80.0,23.95,,,0.0,
01-MK-SEAM-PS50,MICHAEL KORS SEXY AMBER EDP-S 50ML,22548289662.0,156,65.0,15.95,,,0.0,4256139.0
01-MO-CC-TS50-UK,MOSCHINO CHEAP & CHIC EDT-S 50ML,8011003061303.0,411,61.0,12.95,,,0.0,
01-MO-FC-TS50,MOSCHINO FRESH COUTURE EDT-S 50ML,8011003826704.0,1000+,61.0,12.95,,,0.0,
01-MO-FUN-91600,MOSCHINO FUNNY EDT-S 50ML,8011003991600.0,1000+,49.5,9.75,,,0.0,
01-MO-ILL-TS100,MOSCHINO I LOVE LOVE EDT-S 100ML,8011003991457.0,1000+,78.0,18.5,,,0.0,597874.0
01-MO-PB-TS100,MOSCHINO PINK BOUQUET EDT-S 100ML,8011003807871.0,1000+,78.0,12.95,,,0.0,
01-MO-PB-TS50,MOSCHINO PINK BOUQUET EDT-S 50ML,8011003807864.0,1000+,61.0,8.95,,,0.0,3337543.0
01-MO-TOY-PS100-UK,MOSCHINO TOY 2 EDP-S 100ML,8011003839308.0,290,87.0,29.95,,,0.0,6405422.0
01-MO-TP-PS100-UK,MOSCHINO TOY PEARL EDP-S 100ML,8011003878611.0,490,87.0,31.95,,,0.0,
01-PA-FAME-14660-UK,PACO FAME LE PARFUM 80ML,3349668614660.0,10,138.0,57.95,,,0.0,203510952.0
01-PA-FAME-P30,PACO FAME LE PARFUM 30ML,3349668614646.0,80,72.0,33.95,New In,,0.0,203173587.0
01-PA-FAME-PS30,PACO FAME EDP-S 30ML,3349668594603.0,504,66.0,30.5,,,0.0,
01-PA-FAME-PS50,PACO FAME EDP-S 50ML,3349668594429.0,349,98.0,44.5,,,0.0,202026078.0
01-PA-LAD-12611,PACO LADY MILLION EDP-S 30ML,3349668612611.0,62,61.0,31.95,,,0.0,2247433.0
01-PA-LAD-12611,PACO LADY MILLION EDP-S 30ML,3349668612611.0,62,61.0,31.95,,,0.0,2247433.0
01-PA-LAD-DSP150,PACO LADY MILLION DEO SPRAY 150ML,3349668589999.0,822,31.0,12.95,,,0.0,
