search_number,shop_name,price,product_link
913912.0,Perfumeclick.co.uk,£16.55 £55.17/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=f4da7fa11924b0b56a610f00df848b5d&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=1&price=16.55&productid=913912&sid=69736&type=offer
913912.0,cosmetify.com,£17.38 £57.93/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=9d87748243a5a45d4b506e6468858f95&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=2&price=17.38&productid=913912&sid=329503&type=offer
913912.0,Dressinn.com (UK),£17.99 £59.97/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=bb43df5b9e2024d1313184d11176985b&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=3&price=17.99&productid=913912&sid=318629&type=offer
913912.0,Amazon-marketplace.co.uk,£18.61 £62.03/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=2cf2179e22ff84a03fe07010713287b5&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=4&price=18.61&productid=913912&sid=22828&type=offer
913912.0,onbuy.com,£20.98 £69.93/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=73f0bfdfdd1a7a9f1ac4961620c3de24&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=5&price=20.98&productid=913912&sid=316895&type=offer
913912.0,ebay.co.uk,£26.95 £89.83/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=3c33507220112f5b302bafcb27b2fc88&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=6&price=26.95&productid=913912&sid=22818&type=offer
913912.0,amazon.co.uk,£30.29 £100.97/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=ac902701b619d698a877518fd4498e16&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=7&price=30.29&productid=913912&sid=12004&type=offer
913912.0,parfumdreams.co.uk,£34.59 £115.30/L,https://www.idealo.co.uk/relocator/relocate?categoryId=16252&offerKey=d5b2ce3c6d724b6408c12d8a80221340&offerListId=913912-0292908D4BEFE970A8D9DA69A682F60E&pos=8&price=34.59&productid=913912&sid=316458&type=offer
6379692.0,notino.co.uk,£22.00 £220.00/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=fd83da6a6dd57bd94fd39316739d4c18&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=1&price=22.00&productid=6379692&sid=307734&type=offer
6379692.0,Perfumeclick.co.uk,£24.20 £242.00/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=fd0a1cd118e3f63572033fd4f81f5e52&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=2&price=24.20&productid=6379692&sid=69736&type=offer
6379692.0,cosmetify.com,£25.41 £254.10/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=a877ea04d1d92dbdb1a90f1410078c12&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=3&price=25.41&productid=6379692&sid=329503&type=offer
6379692.0,Amazon-marketplace.co.uk,£26.88 £268.80/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=10fdadcc6791b2ef969d51cffeda38a4&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=4&price=26.88&productid=6379692&sid=22828&type=offer
6379692.0,ebay.co.uk,£26.92 £269.20/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=28d74dea71e01292329c808c5cd746bd&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=5&price=26.92&productid=6379692&sid=22818&type=offer
6379692.0,onbuy.com,£26.99 £269.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=01316a0e31013a3df8fb7bf5b1087786&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=6&price=26.99&productid=6379692&sid=316895&type=offer
6379692.0,allbeauty.com(UK),£37.95 £379.50/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=da03a0b4fa98dd6f54a99dd520bb6f8e&offerListId=6379692-2BC4BC827C2EA34D997EB0E66427DB16&pos=7&price=37.95&productid=6379692&sid=28942&type=offer
202338655.0,Perfumeclick.co.uk,£24.20 £242.00/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=709a83aeb051b661b889f6ec1f6c39dc&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=1&price=24.20&productid=202338655&sid=69736&type=offer
202338655.0,ebay.co.uk,£24.89 £248.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=8610bac63bce7bee5deb869236f7d558&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=2&price=24.89&productid=202338655&sid=22818&type=offer
202338655.0,cosmetify.com,£24.99 £249.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=8692c5c8b65f00921e35aef72ca07fa4&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=3&price=24.99&productid=202338655&sid=329503&type=offer
202338655.0,perfumedirect.com,£24.99 £249.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=57010243e9114d57c58620b4371686c7&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=4&price=24.99&productid=202338655&sid=318630&type=offer
202338655.0,cosmetify.com,£25.41 £254.10/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=a0f0c2da0d63a659666b3a229d2a7a40&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=5&price=25.41&productid=202338655&sid=329503&type=offer
202338655.0,allbeauty.com(UK),£26.95 £269.50/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=bfccd716a64ed9c21339ed1c2bc07523&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=6&price=26.95&productid=202338655&sid=28942&type=offer
202338655.0,Fragrancedirect.co.uk,£28.25 £282.50/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=3b9af89337cfd1b4f3fdd401328f59c9&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=7&price=28.25&productid=202338655&sid=21971&type=offer
202338655.0,onbuy.com,£29.31 £293.10/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=aceca5a0a9438a633094e1fc9595420e&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=8&price=29.31&productid=202338655&sid=316895&type=offer
202338655.0,N/A,£29.92 £299.20/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=2cb5e4c803786806c7b962627b64f5f8&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=9&price=29.92&productid=202338655&sid=307734&type=offer
202338655.0,beautybase.com(UK),£29.99 £299.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=ef4688f54c9175905e2b2e7a44b59b06&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=10&price=29.99&productid=202338655&sid=299115&type=offer
202338655.0,Amazon-marketplace.co.uk,£31.69 £316.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=07a6c664fc40bea8ce3e3ca883052959&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=11&price=31.69&productid=202338655&sid=22828&type=offer
202338655.0,unineed.com,£34.99 £349.90/L,https://www.idealo.co.uk/relocator/relocate?categoryId=3972&offerKey=8822744986824daf6676e5eb3fb67354&offerListId=202338655-9E10D78BF55893F92F5BCEDD54A318EB&pos=12&price=34.99&productid=202338655&sid=314440&type=offer
